Iteration, FED
584, -109.3730219376962
585, -109.37302911301813
586, -109.37303626610893
587, -109.37304339708722
588, -109.37305050607262
589, -109.37305759318166
590, -109.37306465853267
591, -109.3730717022411
592, -109.37307872442221
593, -109.37308572519167
594, -109.37309270466228
595, -109.373099662947
596, -109.37310660015932
597, -109.373113516411
598, -109.3731204118109
599, -109.37312728647083
600, -109.37313414049868
601, -109.37314097400369
602, -109.37314778709407
603, -109.37315457987675
604, -109.37316135245794
605, -109.37316810494329
606, -109.3731748374382
607, -109.3731815500469
608, -109.37318824287222
609, -109.3731949160174
610, -109.37320156958616
611, -109.3732082036777
612, -109.37321481839368
613, -109.37322141383504
614, -109.37322799010009
615, -109.37323454728933
616, -109.3732410854993
617, -109.37324760482845
618, -109.37325410537386
619, -109.37326058723124
620, -109.37326705049713
621, -109.37327349526555
622, -109.37327992163165
623, -109.37328632968898
624, -109.37329271953169
625, -109.37329909125127
626, -109.37330544493912
627, -109.373311780688
628, -109.37331809858824
629, -109.37332439873032
630, -109.37333068120334
631, -109.37333694609663
632, -109.37334319349853
633, -109.37334942349773
634, -109.37335563618143
635, -109.3733618316352
636, -109.37336800994662
637, -109.37337417120091
638, -109.3733803154831
639, -109.37338644287868
640, -109.37339255347037
641, -109.3733986473429
642, -109.37340472457856
643, -109.37341078526013
644, -109.3734168294694
645, -109.37342285728835
646, -109.37342886879792
647, -109.37343486407812
648, -109.37344084320914
649, -109.37344680626938
650, -109.37345275334003
651, -109.37345868449789
652, -109.37346459982112
653, -109.37347049938725
654, -109.37347638327316
655, -109.37348225155597
656, -109.37348810431192
657, -109.37349394161551
658, -109.37349976354183
659, -109.37350557016698
660, -109.37351136156389
661, -109.37351713780647
662, -109.37352289896894
663, -109.37352864512327
664, -109.37353437634103
665, -109.37354009269613
666, -109.37354579425813
667, -109.3735514810998
668, -109.37355715329048
669, -109.37356281090133
670, -109.37356845400127
671, -109.37357408266028
672, -109.3735796969471
673, -109.37358529693014
674, -109.3735908826777
675, -109.37359645425741
676, -109.3736020117366
