Distance, Potential, E-field Magnitude
49.25444142409901, 4.78258408803966e-05, 4.7904029830590323e-05
49.16299421312742, 4.817222689659874e-05, 4.825093621477251e-05
49.09175083453431, 4.8442021524103654e-05, 4.8521596199034544e-05
49.040799340956916, 4.863420103444599e-05, 4.871397017327569e-05
49.01020301937138, 4.87471489740553e-05, 4.8827447060890754e-05
49.0, 4.878069377711256e-05, 4.886083958862584e-05
49.01020301937138, 4.873409364073389e-05, 4.881441783379547e-05
49.040799340956916, 4.860806561351014e-05, 4.868788767505682e-05
49.09175083453431, 4.840275749139949e-05, 4.848241131236856e-05
49.16299421312742, 4.8119759895738474e-05, 4.819857671424989e-05
49.25444142409901, 4.776007367294348e-05, 4.783839729982681e-05
49.36598018878993, 4.732609779566801e-05, 4.7403281500764905e-05
49.49747468305833, 4.681960196881009e-05, 4.6896005093427124e-05
49.64876634922564, 4.6243684387188927e-05, 4.6318691107799345e-05
49.8196748283246, 4.560076019186765e-05, 4.567474938058928e-05
50.00999900019995, 4.489448402651787e-05, 4.4966877796353355e-05
50.21951811795888, 4.412776551321452e-05, 4.4198964358449804e-05
50.44799302251776, 4.330465206696594e-05, 4.337412103832287e-05
50.695167422546305, 4.242838261138415e-05, 4.2496543971989965e-05
50.96076922496363, 4.1503226221525926e-05, 4.1569591008451496e-05
51.24451190127583, 4.053258490426732e-05, 4.059759556208643e-05
51.54609587543949, 3.952078340641247e-05, 3.9583998356301706e-05
51.86520991955976, 3.847123113661995e-05, 3.8533110092144086e-05
52.20153254455275, 3.738815801445371e-05, 3.7448306998311665e-05
52.55473337388365, 3.6274844641951025e-05, 3.63337369461028e-05
52.92447448959697, 3.513529851606918e-05, 3.519258738218825e-05
53.31041174104736, 3.3972560504812613e-05, 3.4028728966763445e-05
53.71219600798314, 3.279031522678251e-05, 3.2845063411689936e-05
54.12947441089743, 3.1591280864233614e-05, 3.1645098257815614e-05
54.56189146281496, 3.0378747125062774e-05, 3.043138116865199e-05
55.00909015790027, 2.9155054512058978e-05, 2.9206999173822203e-05
55.47071299343465, 2.7923053081094286e-05, 2.7974105139602194e-05
55.94640292279746, 2.6684676521325414e-05, 2.6735334730314353e-05
56.43580423808985, 2.5442314926932464e-05, 2.5492430119879715e-05
56.938563381947034, 2.41974884319314e-05, 2.4247568075374908e-05
57.4543296888929, 2.295212741000488e-05, 2.3002085496338756e-05
57.982756057296896, 2.1707349930349007e-05, 2.175771240996262e-05
58.52349955359813, 2.0464643160451132e-05, 2.051540364239054e-05
59.07622195096772, 1.922474853314228e-05, 1.9276471168370053e-05
59.64059020499378, 1.7988738611604903e-05, 1.804152621057698e-05
60.21627686929839, 1.6757013545773636e-05, 1.6811506466591158e-05
60.802960454241045, 1.553026822806996e-05, 1.558673350317285e-05
61.40032573203501, 1.4308603335513998e-05, 1.43678324699995e-05
62.00806399170998, 1.309237822419433e-05, 1.3154911911490025e-05
62.625873247404705, 1.1881439574466047e-05, 1.1948378845378838e-05
63.25345840347388, 1.0675856114766493e-05, 1.0748256469878656e-05
63.89053137985315, 9.475267591433326e-06, 9.554915389647068e-06
64.53681120105021, 8.279498058617223e-06, 8.368580560061603e-06
65.19202405202648, 7.0880275693354175e-06, 7.190082324458826e-06
65.85590330410783, 5.900481405082303e-06, 6.020807140021288e-06
66.52818951391959, 4.7162265246146096e-06, 4.864139442341046e-06
67.20863039818622, 3.5347347267710217e-06, 3.727940861019573e-06
67.89698078707183, 2.3553054964594313e-06, 2.634610151518962e-06
68.59300255857006, 1.1773016930150184e-06, 1.665521393931992e-06
68.59300255857006, 2.2710892199468796e-06, 2.5403567995576403e-06
67.88225099390856, 4.543717694014697e-06, 3.216190160088692e-06
67.17886572427373, 6.819468824699106e-06, 4.10361817305457e-06
66.48308055437865, 9.099757346217425e-06, 5.094981110450349e-06
65.79513659838392, 1.1386129897555639e-05, 6.142061709761905e-06
65.11528238439882, 1.3679795746213272e-05, 7.2228266132635784e-06
64.4437739428721, 1.598218224867384e-05, 8.326247307027624e-06
63.7808748764079, 1.8294210710923724e-05, 9.446634645106413e-06
63.12685640834652, 2.061710425650846e-05, 1.0580607951812389e-05
62.48199740725323, 2.295141155416597e-05, 1.1726376441387923e-05
61.84658438426491, 2.5298063731988688e-05, 1.2882574911434803e-05
61.220911460055866, 2.7657149878145562e-05, 1.4048545052030208e-05
60.60528029800704, 3.00292188257326e-05, 1.5223471231844026e-05
60.0, 3.24138115479178e-05, 1.6406993733360046e-05
59.405386961116584, 3.481100289691523e-05, 1.7598341701017406e-05
58.82176467941097, 3.721969726531798e-05, 1.8797127758148366e-05
58.249463516842795, 3.963940469519209e-05, 2.000240440310501e-05
57.688820407423826, 4.206830745270757e-05, 2.121359596825851e-05
57.14017850864661, 4.4505264323253127e-05, 2.24294587689683e-05
56.60388679233962, 4.694765702776132e-05, 2.3649133685400444e-05
56.08029957123981, 4.939361596987723e-05, 2.487100623995818e-05
55.569775957799216, 5.183965667839532e-05, 2.609387129617131e-05
55.072679252057455, 5.428311974176634e-05, 2.7315694935967558e-05
54.589376255824725, 5.6719608645623915e-05, 2.8534885480261876e-05
54.120236510939236, 5.9145636071146014e-05, 2.9748961520970666e-05
53.665631459994955, 6.155587554764018e-05, 3.095592433448704e-05
