x, y, Potential, x-field, y-field, z-field
 38, 7, 0.01792236689575544, -0.12472758112693118, -0.9921870953003776, 0.0027925661360652695
 38, 8, 0.02058587934943579, -0.14186500456092827, -0.989881026570785, 0.003142246982079372
 38, 9, 0.023291037795538656, -0.15877330941372705, -0.9873089529360811, 0.0034738552174989217
 38, 10, 0.026043279773579488, -0.17544833240146493, -0.9844813601633399, 0.003786046550844437
 38, 11, 0.02884812150337391, -0.1918927336632085, -0.9814074337049085, 0.004077724366183094
 38, 12, 0.03171116451320807, -0.208115972485687, -0.9780944926703374, 0.004348034532042537
 38, 13, 0.0346381012907599, -0.22413416582877324, -0.9745474586842846, 0.004596355104050369
 38, 14, 0.037634719672253764, -0.23996985744036978, -0.9707683622348925, 0.004822282015078144
 38, 15, 0.040706905607468986, -0.25565172567181177, -0.9667558835540385, 0.005025611870695649
 38, 16, 0.043860643839254046, -0.27121425665319, -0.9625049200859531, 0.005206322924155895
 38, 17, 0.04710201591039604, -0.28669740666123994, -0.958006168331457, 0.005364555209868834
 38, 18, 0.0504371947507497, -0.30214627370376557, -0.9532457043118697, 0.00550059068614009
 38, 19, 0.0538724348941261, -0.31761079388964103, -0.9482045439898035, 0.005614834092002073
 38, 20, 0.057414057115746944, -0.3331454732928559, -0.9428581625567433, 0.005707795073490917
 38, 21, 0.061068425952112634, -0.3488091608762569, -0.9371759493588019, 0.005780071991747403
 38, 22, 0.06484191814708351, -0.3646648626075879, -0.9311205731893096, 0.005832337696032084
 38, 23, 0.06874087953733472, -0.3807795910306648, -0.9246472305634285, 0.005865327433455317
 38, 24, 0.07277156721814165, -0.39722423795247086, -0.9177027472958201, 0.005879828975648414
 38, 25, 0.07694007298152584, -0.41407345011656943, -0.9102245012082751, 0.005876674970397648
 38, 26, 0.08125222295150619, -0.43140547811548996, -0.9021391312198597, 0.005856737472541863
 38, 27, 0.08571344700804553, -0.44930195650124233, -0.8933609957465724, 0.005820924569881964
 38, 28, 0.09032860994122074, -0.4678475569919986, -0.8837903419086386, 0.005770178994644675
 38, 29, 0.09510179426121364, -0.48712943548026666, -0.8733111476459462, 0.0057054785949176585
 38, 30, 0.10003602217227761, -0.507236365585774, -0.861788603348179, 0.0056278385308811815
 38, 31, 0.10513290139824823, -0.528257414913693, -0.849066210995979, 0.005538315053679011
 38, 32, 0.11039217639190221, -0.5502799731176793, -0.8349625016879744, 0.005438010717682988
 38, 33, 0.11581116316908897, -0.5733868819379979, -0.8192674137152692, 0.0053280808659834
 38, 34, 0.1213840430055898, -0.5976523466399914, -0.801738443104857, 0.005209741213475601
 38, 35, 0.1271009883169067, -0.6231362290199232, -0.782096790823895, 0.005084276329487905
 38, 36, 0.1329470945891791, -0.6498762440608411, -0.7600239040405237, 0.0049530487959362395
 38, 37, 0.13890109749016916, -0.6778775265204332, -0.7351590648611986, 0.0048175087905912035
 38, 38, 0.14493386770883188, -0.7070990401109135, -0.7070990401109135, 0.00467920382646413
 38, 39, 0.15100670259089014, -0.7374364384295917, -0.67540128042359, 0.004539788371028536
 38, 40, 0.1570694797297746, -0.7687013577783102, -0.6395927246754388, 0.00440103306403277
 38, 41, 0.16305881067758565, -0.8005978679053087, -0.5991868365570882, 0.004264833195200541
 38, 42, 0.1688964389126117, -0.8326980786382144, -0.5537118622162412, 0.004133215848241696
 38, 43, 0.1744882651382691, -0.8644207835275756, -0.5027530628261532, 0.004008344358234657
 38, 44, 0.17972454032540688, -0.8950193800111377, -0.4460102663798868, 0.00389251695196096
 38, 45, 0.18448190124814845, -0.9235875530629624, -0.38336885857356184, 0.0037881530030173718
 38, 46, 0.18862795404383062, -0.9490921098365932, -0.31497697321329227, 0.0036977549022030837
 38, 47, 0.19202891772739875, -0.9704401188610587, -0.24131482254803877, 0.0036238271954620793
 38, 48, 0.1945602923745609, -0.9865805668897583, -0.1632361761048327, 0.0035687317292316563
 38, 49, 0.19611956858058655, -0.996629279120045, -0.08196089031920525, 0.0035344672501762425
 38, 50, 0.19663882817241488, -0.9999933012183123, 0.0009951122600767484, 0.0035223955047228796
 38, 51, 0.196094229136968, -0.9964637437305511, 0.08394954077081497, 0.0035329923384986605
