x, y, Potential, Ex, Ey, Ez
 16, 55, 0.0008786474025813848, -0.9923583566031282, 0.1233812971620497, 0.0013955610156999552
 16, 56, 0.0008690321048680613, -0.989097886266342, 0.1472528595058605, 0.001402408928195468
 16, 57, 0.0008578712343539478, -0.9852962410009762, 0.17084884614113585, 0.0014104047606390711
 16, 58, 0.0008452404913724826, -0.9809736453345399, 0.1941357568864332, 0.0014195271029433074
 16, 59, 0.0008312386049035732, -0.9761513640292927, 0.21708632060155927, 0.0014296543037872348
 16, 60, 0.0008159555677955351, -0.9708511425276944, 0.2396789171060011, 0.0014407454894218594
 16, 61, 0.0007995006987439385, -0.9650941988614169, 0.2618989826395695, 0.0014526583900749802
 16, 62, 0.0007819714570484593, -0.9589007392360984, 0.2837379514514834, 0.0014653322420975492
 16, 63, 0.0007634810090232686, -0.9522888358639038, 0.30519467036823117, 0.0014786033265661266
 16, 64, 0.0007441279142540932, -0.9452740813262209, 0.3262739400333732, 0.001492390018689311
 16, 65, 0.0007240232206192065, -0.9378683817221508, 0.3469879378398307, 0.0015065057370584447
 16, 66, 0.0007032612458591717, -0.9300797745484173, 0.36735446098088476, 0.0015208462805278741
 16, 67, 0.0006819461603545607, -0.9219111440625062, 0.38739835520338484, 0.0015352000107194809
 16, 68, 0.0006601640184479598, -0.9133601863890475, 0.40714956608462327, 0.0015494374680033074
 16, 69, 0.0006380087305232214, -0.9044180344279683, 0.42664455350552843, 0.0015633187514213329
 16, 70, 0.0006155554414803145, -0.8950693165960419, 0.4459242453062795, 0.001576685231594221
 16, 71, 0.0005928857531379156, -0.8852906661699639, 0.4650353864293271, 0.0015892642536267495
 16, 72, 0.0005700625084032251, -0.8750507902636213, 0.48402846166113966, 0.0016008625682839201
 16, 73, 0.000547154103954766, -0.8643088358916317, 0.5029588853327489, 0.0016111686725058443
 16, 74, 0.0005242107175493306, -0.8530143668822721, 0.5218849161098239, 0.0016199473691118583
 16, 75, 0.000501287546743493, -0.8411055699444472, 0.5408685363367747, 0.0016268402938787807
 16, 76, 0.00047842250944425793, -0.8285090357752467, 0.5599733169072447, 0.0016315608077403646
 16, 77, 0.00045565825225814873, -0.8151378221475376, 0.5792647598032105, 0.0016336935754020486
 16, 78, 0.0004330213557398395, -0.8008909667288051, 0.5988079768057977, 0.0016328888349482057
 16, 79, 0.0004105429708158994, -0.7856515018217701, 0.6186671683095109, 0.001628662361727891
 16, 80, 0.0003882395656589838, -0.7692857226415782, 0.6389028491358619, 0.0016205881348483214
 16, 81, 0.0003661320664918014, -0.75164141238519, 0.6595700123561609, 0.0016081007712979685
 16, 82, 0.00034422818928635647, -0.7325471108031174, 0.6807144777162117, 0.0015906858741643402
 16, 83, 0.00032253997940887415, -0.7118111317445966, 0.7023691729268682, 0.0015676882674027482
 16, 84, 0.00030106777639324074, -0.6892215151060451, 0.7245490570916152, 0.0015385001069090924
 16, 85, 0.00027981606383961866, -0.66454699712438, 0.7472449608170978, 0.0015023802525213272
 16, 86, 0.0002587791183778269, -0.6375390761739043, 0.770416639692754, 0.0014586417825657632
 16, 87, 0.0002379550963712797, -0.6079369668716668, 0.79398404649891, 0.001406490701993835
 16, 88, 0.00021733341863062867, -0.5754742039789031, 0.8178188252584304, 0.0013452166251108073
 16, 89, 0.00019690703374915334, -0.5398904892295645, 0.8417343027379195, 0.0012740619175863241
 16, 90, 0.00017666158832761633, -0.5009458700878104, 0.8654777948485446, 0.0011924202561192775
 16, 91, 0.00015658581841783832, -0.45844211379854966, 0.888723589679316, 0.0010997469838495324
 16, 92, 0.00013666255134685073, -0.4122459291733893, 0.9110720620959865, 0.0009957651006039106
 16, 93, 0.000116877187122483, -0.36231864399660146, 0.9320538745575931, 0.0008804173115516444
 16, 94, 9.721057281864656e-05, -0.30874351065875794, 0.9511450341660783, 0.0007540605511966222
 16, 95, 7.764554525288155e-05, -0.25175306824073335, 0.9677913057090286, 0.0006174345232501586
 16, 96, 5.816171270629563e-05, -0.19174465219908152, 0.9814447339315869, 0.0004717955166224266
 16, 97, 3.874003901874051e-05, -0.12928465600975098, 0.9916074707545256, 0.0003188483228648096
 16, 98, 1.9359560493701614e-05, -0.06509139374452313, 0.9978792936109785, 0.00016075711488530828
 17, 1, 1.9807845710731733e-05, -0.06097935435395204, -0.9981390141369052, 0.00016370822295505507
 17, 2, 3.963940469519214e-05, -0.12120068391970294, -0.9926279709216755, 0.00032490200633929895
 17, 3, 5.95177379031496e-05, -0.17995428989812384, -0.9836748558168685, 0.0004812285579489766
 17, 4, 7.946668047562415e-05, -0.23662097154849687, -0.9716018310832681, 0.0006306021614839088
 17, 5, 9.950810537051965e-05, -0.29070045507790027, -0.9568138013483309, 0.0007713409481125382
 17, 6, 0.00011966541513885519, -0.34182745098195166, -0.9397622996641909, 0.0009021557809034241
 17, 7, 0.0001399587246769661, -0.3897708753219993, -0.9209112985491638, 0.0010222305098833572
 17, 8, 0.00016041039638791424, -0.43442489020732294, -0.9007073527956009, 0.0011311004803148533
 17, 9, 0.00018103815365640708, -0.4757890651666731, -0.8795585573208596, 0.0012287031664749138
 17, 10, 0.00020186262939804827, -0.5139484081580536, -0.8578200883738113, 0.0013151935785741177
 17, 11, 0.0002228984303752706, -0.5490495856083794, -0.835788620192012, 0.001391007117007655
 17, 12, 0.00024416366136510394, -0.5812821976218355, -0.8137007342292792, 0.0014566546129346292
 17, 13, 0.00026566896920401716, -0.610860141474651, -0.7917370768951434, 0.0015128209092046545
 17, 14, 0.0002874289976339106, -0.6380090694804101, -0.770027267804111, 0.0015601598883208559
 17, 15, 0.00030944944921098227, -0.6629550342476217, -0.7486575080671084, 0.00159943129962558
 17, 16, 0.0003317404196623041, -0.6859178862699885, -0.7276771208139639, 0.0016312997305000267
 17, 17, 0.0003543015258460321, -0.707105811036066, -0.7071058110360626, 0.0016565017535044386
 17, 18, 0.0003771370636082373, -0.7267126459953411, -0.686939533262488, 0.0016756466110775118
 17, 19, 0.0004002392612642505, -0.7449161826252549, -0.6671559238869171, 0.0016894039220966383
 17, 20, 0.0004236052020166656, -0.7618774998647654, -0.6477189135459295, 0.0016983034755398592
 17, 21, 0.00044721827543813594, -0.7777413344246998, -0.6285821479631213, 0.0017029355114066274
 17, 22, 0.00047106680506717646, -0.7926361835170805, -0.6096925272798698, 0.0017037483857954582
 17, 23, 0.0004951237856066633, -0.8066756677027805, -0.5909919397631321, 0.0017012557960660527
